Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,UnitPrice,Year
东西,黄村火车站,板楼,6,义和庄北里,101113036358,2室1厅, 198万,大兴,其他,62.0,"31,890元/平",1997
南北,瀛海,板楼,6,德茂佳苑,101112699319,2室1厅, 349万,大兴,精装,83.0,"41,657元/平",2003
南,天宫院,板楼,20,金融街融汇,101111676892,2室1厅, 309万,大兴,精装,74.0,"41,477元/平",2014
南北,大兴其它,板楼,6,天堂河北区,101110093641,2室1厅, 173万,大兴,简装,59.0,"29,164元/平",1991
南北,天宫院,板塔结合,26,金融街融汇,101109386038,2室1厅, 352万,大兴,简装,81.0,"43,096元/平",2014
南北,西红门,板楼,6,宏福园,101111793924,2室1厅, 272万,大兴,简装,77.0,"34,957元/平",1995
南北,高米店,板塔结合,6,泰中花园,101112738316,1室1厅, 175万,大兴,精装,57.0,"30,568元/平",1998
南北,旧宫,板楼,6,清逸西园,101111950186,2室1厅, 275万,大兴,精装,61.0,"44,413元/平",1998
南北,黄村火车站,板楼,6,车站北里,101109332266,2室1厅, 330万,大兴,简装,88.0,"37,327元/平",1997
南北,瀛海,板楼,5,上林苑,101111919963,2室2厅, 349万,大兴,精装,94.0,"37,010元/平",2002
南西北,瀛海,板楼,6,上林苑,101112497655,1室1厅, 293万,大兴,毛坯,72.0,"40,582元/平",2002
南,天宫院,板塔结合,26,金融街融汇,101112009345,2室1厅, 312万,大兴,精装,78.0,"39,954元/平",2014
南北,黄村火车站,板楼,5,林校北里,101108924380,2室1厅, 269万,大兴,简装,73.0,"36,749元/平",1981
西南,西红门,板楼,6,宏福园,101111758197,1室1厅, 218万,大兴,简装,61.0,"35,350元/平",1997
北南,枣园,板楼,6,新安里,101112366051,2室1厅, 265万,大兴,其他,84.0,"31,321元/平",2003
南北,旧宫,板楼,8,紫郡府,101112077722,3室2厅, 860万,大兴,精装,128.0,"66,927元/平",2014
南北,枣园,板楼,6,新安里,101105574996,3室1厅, 410万,大兴,精装,95.0,"42,834元/平",1998
南北,西红门,板楼,5,同华园,101111794602,3室1厅, 350万,大兴,简装,101.0,"34,402元/平",2000
南北,天宫院,板楼,21,云立方,101112265638,3室2厅, 475万,大兴,精装,101.0,"47,012元/平",2014
南北,亦庄,板楼,6,小康家园,101113013984,3室1厅, 380万,大兴,简装,103.0,"36,883元/平",2000
南北,高米店,板楼,6,金惠园三里南区,101110081739,3室2厅, 485万,大兴,简装,130.0,"37,185元/平",1998
南北,枣园,板塔结合,27,首邑溪谷,101107738330,3室2厅, 620万,大兴,精装,124.0,"49,872元/平",2013
南,枣园,板塔结合,9,首开康乃馨城,101109581916,2室1厅, 335万,大兴,其他,88.0,"37,709元/平",2012
南北,黄村中,板楼,6,兴政家园,101110969251,3室2厅, 499万,大兴,简装,108.0,"46,059元/平",2002
南北,观音寺,板楼,6,林海园,101112234048,3室1厅, 280万,大兴,简装,100.0,"27,765元/平",2001
东西,枣园,板塔结合,15,首邑溪谷,101107843855,2室1厅, 317万,大兴,精装,47.0,"66,458元/平",2013
西北,枣园,板塔结合,16,首邑溪谷,101112158081,2室2厅, 340万,大兴,其他,46.0,"73,324元/平",2012
南北,枣园,板塔结合,15,首邑溪谷,101111830154,2室1厅, 330万,大兴,其他,46.0,"70,604元/平",2013
南北,中央别墅区,板楼,10,莲竹馨晴,101111630545,3室2厅, 498万,顺义,简装,125.0,"39,537元/平",2005
东西,天竺,板楼,7,天竺花园,101111686617,3室1厅, 366万,顺义,简装,108.0,"33,588元/平",1995
南北,顺义其它,塔楼,13,中海国际公馆,101111563630,3室2厅, 545万,顺义,精装,130.0,"41,686元/平",2016
东南,马坡,板楼,16,香悦四季,101111692960,3室2厅, 295万,顺义,精装,88.0,"33,244元/平",2013
南北,顺义其它,板楼,12,北京苏活四区,101110128158,4室1厅, 380万,顺义,精装,133.0,"28,361元/平",2012
南北,顺义城,板楼,6,双兴北区,101113485426,2室2厅, 276万,顺义,简装,73.0,"37,465元/平",2007
南北,杨镇,板楼,6,双阳南区,101112759188,3室2厅, 225万,顺义,简装,95.0,"23,595元/平",1996
南,马坡,板楼,16,香悦四季,101112779563,3室1厅, 290万,顺义,精装,89.0,"32,244元/平",2013
南北,杨镇,板楼,6,双阳南区,101112989526,2室1厅, 220万,顺义,简装,90.0,"24,246元/平",2003
南北,顺义其它,板楼,11,下坡屯家园一区,101111406128,3室1厅, 288万,顺义,精装,100.0,"28,657元/平",2013
南北,首都机场,板楼,6,南竺园,101108763430,2室2厅, 310万,顺义,其他,96.0,"32,279元/平",1995
南北,顺义城,板楼,6,幸福东区,101111573414,1室1厅, 276万,顺义,精装,69.0,"39,435元/平",1998
南北,马坡,板楼,17,香悦四季,101111811408,3室2厅, 495万,顺义,精装,118.0,"41,678元/平",2014
